youtube_id,video_id,title,bias
UC-nDa6eoeSk8xeb5UnNVp5g,KBVArziI9cI,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ATseaSbRbU8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,Iwj_QWwm4xk,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,4DnZRHo6F9I,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,Yxu9El-yEis,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,8xJ07Me7Rrg,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,fJ3Wpjd97G8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,_KA1q0Iq3dw,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,KCPOpvVYaro,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,UJgUWXYY0tI,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,vlKQMPfPQuM,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,48rqHi0fol8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,WFpRAzlMrTM,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,k46EnsEFDlE,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,DvEXQ_Tho64,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,n2dGG72g0r0,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ScN81tUMnFM,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,qWuOVNifGFA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,WTvBldQkiII,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,fAk7ZrUzLgo,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,29XgTR868e4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,UPXxsVIXvw8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,2r5MVQIlZ3M,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,sLzBe0esSt8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ijGoTDObwMQ,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,TczoxBfkhA4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,Jxz8awP2zIo,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,2hXUaz19Zr8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,e-iBScuzBR8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,CwRKA2nWc-c,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,X7FnLX3qOFM,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,WhZqkE8eBi4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,UMtqCapeVRA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,uf1S9-LU7xA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,48xVZj8wS3s,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,YjjisbftZYg,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,BDXkDR6CCPA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,bAKbQJ_HPVI,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,cDqmuaCZyuY,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,vpjVAHhnrHI,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,wtu3Y-IGhLA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,CUsZ1unwmAk,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,X7SEiINOtc4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,cu8UWe8fI24,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,aOw0lF1nnVs,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,0iiC8wQwENY,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,0PaC36Q4B30,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ajC2zOYFW6o,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,8XdFYCu1MUU,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,WEcfg_kB92U,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,Qr3M1cIuztQ,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,xZsW_7a4Xnw,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,_-QEfDY3IlA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,TfKNiF8qbt0,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ygmTj8tD-HE,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,CY6iOEXuoGU,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,TCakKuHMRQo,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ileLBbs6dL0,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,6gGuD5ntop4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,T7DiVdbalZk,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ilLTGH5ceh0,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,Wk4itPjYTUo,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,lmEDl3x-5YQ,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,tfrAMsRrsmQ,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,qh4YlLowQlw,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,w69WrH0tdCA,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,frKS6A_cjAc,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,nOw5RH39xvY,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,67S4CFBKqfY,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,l7HwSVwuqjs,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,51N-x2FQp3c,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,JQ9g4WDIy4o,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,UPncWAFm2Tk,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,hZTia7uBSZ8,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,SlEf7v0j6iQ,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,yIGe6bbGo7k,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,GwYJJq-RnUo,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,MvDF8SHNNHY,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,KCTUpLXRrGs,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,pX-_dWg54F4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,lISvQp4Aj3s,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,PuK41Q2W0hE,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,udnE44YNRw4,JihadWatchVideo,right
UC-nDa6eoeSk8xeb5UnNVp5g,ATlVmSBfJ7I,JihadWatchVideo,right
UC-qbk0cdNP1-uU88-a_IAjA,glPyZAj_wqc,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,G1p_tFnKqMA,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,PqHm2rK_dvo,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,qcBm-VcQNPY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,Kn0JTDJzCBQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,1SuBTMJMsaA,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,NCk-1JWzL3k,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,P_8m3zlMjyo,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,PbKw5N6N58Q,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,A3Kmbxt9GQs,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,9BVwFrPsT20,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,5jyaIg5tsuQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,NeKz-RrnbAw,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,TderXYLZ384,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,WWNVh5eKUEA,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,5Y-w3nX8ENQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,Jks2chdDV6g,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,1kPu-PmvIec,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,mB1FSLo8ct4,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,k53lOGzaYkg,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,2es5ifHSRo0,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,G-AmiNJO9ps,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,HH41R5xQhVY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,RSzjnRdv24I,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,-pxzwPvMZ3Y,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,npgNlv-t_RI,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,wWuvtvRWlk0,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,rKIl_BzMHfk,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,QGiruCh0wBo,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,rSGVx4LVmIM,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,d-p7HsHIG-A,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,q9c8CKG9US4,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,diNYDn35NxY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,-GVN12TbsRY,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,BWoo7fBxoJQ,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,czhMnY3nBW0,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,bU1ROZjQy5A,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,hlvhHCRGOqg,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,-1IXBajiy3s,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,nuj0RPRF4OU,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,E9ddLjEMDLE,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,1wfMa53SI9A,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,U20iTKqIduc,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,M3PzHD6d2dI,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,VKaLOAsPiKw,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,yyETGWUuRsg,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,qSjrjHEDODk,WhoWhatWhy,left
UC-qbk0cdNP1-uU88-a_IAjA,VnillEglTC4,WhoWhatWhy,left
